ID,GeneName,GeneID,UniProtID,STRING_ID
2663,VPS54,51542,,9606.ENSP00000272322
2664,REG3G,130120,,9606.ENSP00000272324
2665,ETAA1,54465,,9606.ENSP00000272342
2666,MEIS1,4211,,9606.ENSP00000272369
2667,MRPS5,64969,,9606.ENSP00000272418
2668,RTKN,6242,,9606.ENSP00000272430
2669,DUSP11,8446,,9606.ENSP00000272444
2670,SULT1C4,,O75897,9606.ENSP00000272452
2671,MALL,7851,,9606.ENSP00000272462
2672,SLC20A1,6574,Q8WUM9,9606.ENSP00000272542
2673,TMEFF2,23671,,9606.ENSP00000272771
2674,METTL21A,,,9606.ENSP00000272839
2675,PTH2R,5746,,9606.ENSP00000272847
2676,CPO;cpo,130749,O31168,9606.ENSP00000272852
2677,ABCA12,26154,,9606.ENSP00000272895
2678,SUMF1,285362,,9606.ENSP00000272902
2679,ACKR3,57007,,9606.ENSP00000272928
2680,HES6,55502,,9606.ENSP00000272937
2681,RAB5A,5868,,9606.ENSP00000273047
2682,CTDSP1,58190,Q9GZU7,9606.ENSP00000273062
2683,SLC4A3,6508,,9606.ENSP00000273063
2684,PNKD,25953,,9606.ENSP00000273077
2685,DYNC1LI1,51143,,9606.ENSP00000273130
2686,CSRNP1,64651,,9606.ENSP00000273153
2687,CTDSPL,10217,,9606.ENSP00000273179
2688,ARL6IP5,10550,,9606.ENSP00000273258
2689,LRIG1,26018,,9606.ENSP00000273261
2690,ITIH1,3697,P19827,9606.ENSP00000273283
2691,CNPY2,10330,,9606.ENSP00000273308
2692,LIMD1,8994,,9606.ENSP00000273317
2693,ZKSCAN7,55888,,9606.ENSP00000273320
2694,ADGRG7,84873,,9606.ENSP00000273352
2695,MYH15,22989,,9606.ENSP00000273353
2696,PLA1A,51365,,9606.ENSP00000273371
2697,RABL3,285282,,9606.ENSP00000273375
2698,BOC,91653,,9606.ENSP00000273395
2699,ATP6V1A,523,P38606,9606.ENSP00000273398
2700,ALDH1L1,10840,,9606.ENSP00000273450
2701,RNF7,9616,,9606.ENSP00000273480
2702,FTH1,2495,P02794,9606.ENSP00000273550
2703,AMT,275,P48728,9606.ENSP00000273588
2704,TCTA,6988,,9606.ENSP00000273590
2705,NICN1,84276,,9606.ENSP00000273598
2706,UCN2,90226,,9606.ENSP00000273610
